Judul Lagu,Lirik
Suci Tacik – Damar Opo Lilin,damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen gowo nong endi gaw lendi suwi bebareng nono jelas hang dadi pikir dadi pitakon isun duwen riko terimo konco damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang gowo nong endi gaw lendi suwi bebareng nono jelas hang dadi pikir dadi pitakon isun duwen riko terimo konco damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang
Esa Risty – Kok Iso Yo,iso yo tegel yo lahku neng endi luputku wong ra piro koyo aku masalah asmoro mung bagi loro tggal lungo ales ra cetho mergo aboti tres anyarmu liyo gusti tulung pargo ati kuat adepi asmoro ugalugal tibo wayah mongso udan teko howo adem featurg loro durung siap nompo nyata sandg wong liyo durung anti garg loron atiku uwis mbok tambahi nyata adepi sliramu iki sandg wong liyo tau nekat ku menctaimu malah milih eboti tres liyan ternyata aku dudu siji sij iso yo tegel yo yo aku masalah asmoro mung bagi loro tibo wayah mongso udan teko howo adem featurg loro durung siap nompo nyata sandg wong liyo durung anti garg loron atiku uwis mbok tambahi nyata adepi sliramu iki sandg wong liyo tau nekat ku menctaimu malah milih eboti tres liyan ternyata aku dudu siji sij durung anti garg loron atiku uwis mbok tambahi nyata adepi sliramu iki sandg wong liyo tau nekat ku menctaimu malah milih eboti tres liyan ternyata aku dudu siji sij eboti tres liyan ternyata aku dudu siji sij
Kalia Siska – Teteg Ati (feat. SKA86),pungkas srengeng sor atiku iseh roso spek mpet mikerk sliramu tresnani pungkas rembul wengi atiku iseh milih berjuang bertah korb ati perasa sliramu koco dadi ksi pedih atiku kow gaw ati jogo dadi gelo bola bali kow lah aku salahk mas perlu ngerteni tetegk atiku wis koyo ibu tau ersulo adepi polahmu gaw atiku atiku tatu pungkas srengeng sor atiku iseh roso spek mpet mikerk sliramu tresnani koco dadi ksi pedih atiku kow gaw ati jogo dadi gelo bola bali kow lah aku salahk wis rapopo aku salah tapi elgo cen aku lilo dadi payung naliko udan teko mas perlu ngerteni tetegk atiku wis koyo ibu tau ersulo adepi polahmu gaw atiku atiku tatu naj kow mung nyepelekk ati tetep kuatk spah ati tiyoku mung kow lawas bebareng kow lawas bakal liyakk lawas tetep teteg atine
Syahiba Saufa – Lemah Teles (feat. James AP),jujur ati loro durung biso nompo nyata tandur sirami malih dadi awu ireng obong kahan mbiyen janji bareng bareng erasakk susah neng iki kow medotk angen angen kuatk ati kudu lang kow mbelok iwo nengen tanpo uwask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales jujur ati loro durung biso nompo nyata tandur sirami malih dadi awu ireng obong kahan mbiyen janji bareng bareng erasakk susah neng iki kow medotk angen angen kuatk ati kudu lang kow mbelok iwo nengen tanpo uwask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales kow mbelok iwo nengen tanpo uwask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales
Yeni Inka – Ginio,aku kelingan sliramu medot tres gampang uwis lali marang spah seng mbok nggupi janji biyen jaren mbok tepati pancen aku kleru duw luwih ko aku aku lilo nompo tapi atiku ra trimo nyawang sliramu sandg wong liyo kurangku jajal to kow omongo masalah pel ojo gaw dowo tulung jelas neng aku yang pengorbananku iseh kurang aku mbok bandgk wong sugeh kae yo jelas nemen aku ra mampu cukup aku mbok apusi dramamu cukup aku erti elgo rasan atiku matursembahnuwun mpun nat larani kurangku jajal to kow omongo masalah pel ojo gaw dowo tulung jelas neng aku yang pengorbananku iseh kurang aku mbok bandgk wong sugeh kae yo jelas nemen aku ra mampu tulung jelas neng aku yang pengorbananku iseh kurang aku mbok bandgk wong sugeh kae yo jelas nemen aku ra mampu cukup aku mbok apusi dramamu cukup aku erti elgo rasan atiku matursembahnuwun mpun nat larani matursembahnuwun nggal loro ati cerito eneki bakal baleni
Syahiba Saufa – Konco Mesra,wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta sungguh yang aku bisa langsung mengungkapk perasa yang ku simp buat ku tenang ini mua karena hubung perteman kau sudah biasa anggap ku bagai kaw adem panas awakku garagara kamu nyibakk atiku gati menyang aku mpek gowo turu impi usap pipimu tansah nyoto roso konco dadi tres gereges awak ku naliko mepet sliramu mung wang esemmu sebyar nong atiku bgung rasan atiku piy nyikapi biyen konco suwi tresnani wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta sungguh yang aku bisa langsung mengungkapk perasa yang ku simp buat ku tenang ini mua karena hubung perteman kau sudah biasa anggap ku bagai kaw adem panas awakku garagara kamu nyibakk atiku gati menyang aku mpek gowo turu impi usap pipimu tansah nyoto roso konco dadi tres gereges awak ku naliko mepet sliramu mung wang esemmu sebyar nong atiku bgung rasan atiku piy nyikapi biyen konco suwi tresnani wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta
Shinta Gisul – Selendang Biru,kow njalok lebih mendg aku seng aleh uwes mati roso ndang omongo abot nyonggo katresnanmu kow njalok lebih mendg aku seng aleh uwes mati roso ndang omongo ojo mbok gandoli lendangmu lendang biru seng ono neng pundakmu luntur tanpo war mbekas neng klambiku lendang biru seng ono neng pundakmu ilang ra bakal mbalek mbalek neng tanganku ilang bareng roso tresnoku kow njalok lebih mendg aku seng aleh uwes mati roso ndang omongo abot nyonggo katresnanmu kow njalok lebih mendg aku seng aleh uwes mati roso ndang omongo ojo mbok gandoli lendangmu lendang biru seng ono neng pundakmu luntur tanpo war mbekas neng klambiku lendang biru seng ono neng pundakmu ilang ra bakal mbalek mbalek neng tanganku ilang bareng roso tresnoku lendang biru seng ono neng pundakmu luntur tanpo war mbekas neng klambiku lendang biru seng ono neng pundakmu ilang ra bakal mbalek mbalek neng tanganku ilang bareng roso tresnoku lendang biru gaw mati rosoku
Ndarboy Genk – Ego,sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru pangapuranen aku tulus ojo pekso bendo mung golek salahanmu aku cen klera kleru nresnani sliramu aku alah aku aku lah bar nesun ojo bubar raemanem nibo tangi kabeh lakoni aku dar luwih milih bertah sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah dowo kudu iso mbok pertimbangk ten ojo waton gaw putus kudu iso mbok pertimbangk ten ojo waton gaw putus bar nesun ojo bubar raemanem nibo tangi kabeh lakoni aku dar luwih milih bertah sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah dowo sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah dowo kondo loroloro masalah masalah dowo
Syahiba Saufa – Cidro 2 (feat. James AP),durung anti garg catu atiku tegotegon sliramu nambahi loro batku aku percoyo kabeh nyoto cetho arep moto sliramu cidro panaspanas srengeng uliti awak seh panas rasang ati nyawang dade lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu aku percoyo kabeh nyoto cetho arep moto sliramu cidro panaspanas srengeng uliti awak seh panas rasang ati nyawang dade lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu pancen uwis nasibku kudu pisah awakmu
Vita Alvia – Lamunan (feat. Ajeng Febria),pdha mudra pasang tanpa wangen tresnaku mrg sliramu yang cahyang mbul sunar abyor tawang yekti sliramu dadi lamun sribid ang ratri tansah hang antheni tya nrajang telengg ati angen angen tlawung suwung wengi sepi tansah angranti tekamu duh yayi wong ayu age nyedhako ndhgku nyawang manisg esemmu gaw lerem rasaku tentrem atiku haywa pegat tresnamu yangku pdha mudra pasang tanpa wangen tresnaku mrg sliramu yang cahyang mbul sunar abyor tawang yekti sliramu dadi lamun wong bagus age nyedako ekep ragaku sirnakna lara branta atimu amerga kabidhung wewayangmu pikirku haywa pegat tresnamu duh yangku pdha mudra pasang tanpa wangen tresnaku mrg sliramu yang cahyang mbul sunar abyor tawang yekti sliramu dadi lamun pdha mudra pasang tanpa wangen tresnaku mrg sliramu yang cahyang mbul sunar abyor tawang yekti sliramu dadi lamun yekti sliramu dadi lamun
